id,time,value,event
318825,0,1.5776652,0
318825,1,-0.10455722,0
318825,2,0.72107685,0
318825,3,0.7145669,0
318825,4,-1.7107887,0
318825,5,-2.014748,0
318825,6,-3.7502801,0
318825,7,-4.0928206,0
318825,8,-3.4191394,0
318825,9,-3.7130582,0
318825,10,-2.6989396,0
318825,11,-2.4042053,0
318825,12,-3.6920538,0
318825,13,-2.7834344,0
318825,14,-3.067002,0
318825,15,-3.1168637,0
318825,16,-2.432506,0
318825,17,-3.5856717,0
318825,18,-4.586998,0
318825,19,-4.830952,0
318825,20,-4.258032,0
318825,21,-2.5638282,0
318825,22,-2.3347917,0
318825,23,-0.8511673,0
318825,24,-2.0281937,0
318825,25,-1.6806123,0
318825,26,-1.4162618,0
318825,27,-1.0634098,0
318825,28,-0.7762265,0
318825,29,-0.6395674,0
318825,30,-0.75422096,0
318825,31,0.40296385,0
318825,32,1.4411232,0
318825,33,0.06766158,0
318825,34,0.76073974,0
318825,35,0.59436053,0
318825,36,2.6775815,0
318825,37,2.212812,0
318825,38,1.4069581,0
318825,39,1.3922584,0
318825,40,0.8300468,0
318825,41,-0.7153452,0
318825,42,-0.86087364,0
318825,43,-0.32183105,0
318825,44,0.39296603,0
318825,45,0.54033506,0
318825,46,1.8321273,0
318825,47,1.9804586,0
318825,48,2.450995,0
318825,49,3.6422873,0
318825,50,3.4306169,0
318825,51,3.9650643,0
318825,52,4.6296005,0
318825,53,3.854961,0
318825,54,2.624135,0
318825,55,1.4904708,0
318825,56,1.5028538,0
318825,57,1.7794148,0
318825,58,3.0731304,0
318825,59,3.329623,0
318825,60,3.082601,0
318825,61,3.315268,0
318825,62,2.3062274,0
318825,63,1.6173475,0
318825,64,3.5167792,0
318825,65,3.0776277,0
318825,66,4.233508,0
318825,67,4.326764,0
318825,68,3.0296938,0
318825,69,3.0535872,0
318825,70,2.8008208,0
318825,71,2.7930954,0
318825,72,2.4079459,0
318825,73,2.4382596,0
318825,74,1.9581066,0
318825,75,2.4353778,0
318825,76,1.8663867,0
318825,77,2.480091,0
318825,78,3.012919,0
318825,79,4.612956,0
318825,80,4.280532,0
318825,81,4.24434,0
318825,82,3.463695,0
318825,83,3.2495625,0
318825,84,3.3714752,0
318825,85,5.175293,0
318825,86,6.015846,0
318825,87,6.682115,0
318825,88,7.4779787,0
318825,89,5.570899,0
318825,90,6.1475086,0
318825,91,4.2857995,0
318825,92,2.5606558,0
318825,93,1.5461982,0
318825,94,3.354716,0
318825,95,2.5259454,0
318825,96,2.6521068,0
318825,97,0.9339938,0
318825,98,0.2018421,0
318825,99,-0.058027215,0
318825,100,-0.82946384,0
318825,101,-0.71516055,0
318825,102,-2.0994308,0
318825,103,-1.9494143,0
318825,104,-3.2199206,0
318825,105,-4.4718747,0
318825,106,-4.872405,0
318825,107,-4.814341,0
318825,108,-3.2219174,0
318825,109,-2.627846,0
318825,110,-2.4624593,0
318825,111,-2.0968244,0
318825,112,-2.5709717,0
318825,113,-0.1612432,0
318825,114,0.5472696,0
318825,115,0.14713658,0
318825,116,0.6698706,0
318825,117,0.045535326,0
318825,118,-0.09517324,0
318825,119,-0.7053074,0
318825,120,-1.9666399,0
318825,121,-0.74417424,0
318825,122,-1.4109305,0
318825,123,0.11741032,0
318825,124,1.9366951,0
318825,125,1.7538474,0
318825,126,1.456475,0
318825,127,2.0982533,0
318825,128,0.7541275,0
318825,129,0.9925011,0
318825,130,0.99641913,0
318825,131,1.3614097,0
318825,132,0.272659,0
318825,133,0.17771588,0
318825,134,-1.0104434,0
318825,135,1.4861522,0
318825,136,8.4036705E-4,0
318825,137,-0.41809255,0
318825,138,-1.17149,0
318825,139,-2.137888,0
318825,140,-3.5971048,0
318825,141,-5.131628,0
318825,142,-5.210639,0
318825,143,-4.584808,0
318825,144,-4.5837345,0
318825,145,-5.102907,0
318825,146,-5.29987,0
318825,147,-3.470956,0
318825,148,-3.572062,0
318825,149,-2.9231868,0
318825,150,-3.766215,0
318825,151,-5.836631,0
318825,152,-6.6119123,0
318825,153,-7.77831,0
318825,154,-9.976896,0
318825,155,-10.293913,0
318825,156,-9.943245,0
318825,157,-8.54123,0
318825,158,-10.422105,0
318825,159,-11.8839655,0
318825,160,-13.158988,0
318825,161,-10.197395,0
318825,162,-9.679242,0
318825,163,-10.271331,0
318825,164,-9.748616,0
318825,165,-10.34526,0
318825,166,-10.388012,0
318825,167,-11.241269,0
318825,168,-11.230491,0
318825,169,-11.399933,0
318825,170,-9.355686,0
318825,171,-9.379751,0
318825,172,-8.852896,0
318825,173,-9.281239,0
318825,174,-10.831771,0
318825,175,-11.283335,0
318825,176,-9.542957,0
318825,177,-9.402697,0
318825,178,-9.849299,0
318825,179,-9.970206,0
318825,180,-9.753942,0
318825,181,-8.772494,0
318825,182,-6.8354006,0
318825,183,-6.9316044,0
318825,184,-6.2346497,0
318825,185,-4.5412145,0
318825,186,-5.0626197,0
318825,187,-4.8477297,0
318825,188,-5.9485526,0
318825,189,-5.5647035,0
318825,190,-5.02261,0
318825,191,-6.617271,0
318825,192,-8.698368,0
318825,193,-8.189377,0
318825,194,-7.4461465,0
318825,195,-5.9878387,0
318825,196,-6.0623984,0
318825,197,-6.0519447,0
318825,198,-6.74921,0
318825,199,-8.5883,0
318825,200,-9.513379,0
318825,201,-8.567419,0
318825,202,-8.925054,0
318825,203,-8.868266,0
318825,204,-6.732035,0
318825,205,-5.053614,0
318825,206,-4.898899,0
318825,207,-4.2877545,0
318825,208,-4.0179853,0
318825,209,-3.8081248,0
318825,210,-3.7439275,0
318825,211,-3.8910031,0
318825,212,-3.5243163,0
318825,213,-4.142773,0
318825,214,-3.9607735,0
